Search query: fracture*[tiab]
Year,Count
2023,8883
2022,20018
2021,19901
2020,17997
2019,15525
2018,14302
2017,13901
2016,13324
2015,13305
2014,12256
2013,11810
2012,10801
2011,10162
2010,9183
2009,8532
2008,7913
2007,7008
2006,6539
2005,6066
2004,5186
2003,4889
2002,4515
2001,4140
2000,4093
1999,3663
1998,3693
1997,3438
1996,3409
1995,3211
1994,3048
1993,3189
1992,2906
1991,2911
1990,2944
1989,2913
1988,2497
1987,2452
1986,2269
1985,2150
1984,2136
1983,2009
1982,1878
1981,1750
1980,1813
1979,1666
1978,1540
1977,1575
1976,1485
1975,1651
1974,1064
1973,992
1972,937
1971,1023
1970,917
1969,987
1968,900
1967,946
1966,880
1965,1147
1964,1543
1963,1190
1962,937
1961,979
1960,902
1959,880
1958,766
1957,735
1956,738
1955,683
1954,701
1953,822
1952,689
1951,634
1950,488
1949,420
1948,447
1947,428
1946,414
1945,178
1944,25
1943,17
1942,31
1941,30
1940,32
1939,32
1938,45
1937,30
1936,33
1935,32
1934,39
1933,28
1932,35
1931,43
1930,28
1929,41
1928,34
1927,38
1926,38
1925,18
1924,26
1923,28
1922,21
1921,39
1920,29
1919,34
1918,27
1917,32
1916,40
1915,35
1914,27
1913,28
1912,41
1911,42
1910,34
1909,22
1908,38
1907,47
1906,11
1905,28
1904,20
1903,19
1902,11
1901,18
1900,33
1899,16
1898,23
1897,20
1896,22
1895,31
1894,17
1893,30
1892,28
1891,15
1890,14
1889,16
1888,19
1887,16
1886,17
1885,24
1884,15
1883,17
1882,9
1881,13
1880,16
1879,14
1878,25
1877,18
1876,18
1875,17
1874,21
1873,15
1872,17
1871,12
1870,8
1869,7
1868,17
1867,14
1866,14
1865,4
1864,9
1863,4
1862,7
1861,5
1860,9
1859,6
1858,14
1857,9
1856,13
1855,12
1854,3
1853,10
1852,5
1851,6
1850,6
1849,6
1848,8
1847,2
1846,11
1845,8
1844,5
1843,15
1842,11
1841,9
1840,4
1839,1
1838,1
1837,2
1836,3
1835,3
1834,1
1833,1
1832,3
1831,4
1830,2
1829,10
1828,6
1827,9
1826,9
1825,3
1824,4
1823,7
1822,3
1821,6
1820,4
1818,4
1817,3
1816,3
1815,4
1814,6
1812,1
1811,6
1807,4
1806,3
1805,5
1804,3
1803,2
1802,3
1801,5
1800,4
1794,1
1792,3
1790,2
1789,1
1787,2
1786,1
1785,1
1784,1
1783,1
