Covidence #,Study ID,Title,Reviewer Name,Year of publication,Author contact,Country in which the study conducted,Notes,Level of Evidence,Aims,Nail focus,Study design,Approach 1,Approach 2,Approach 3,Locking description,Fracture description/location,Open/closed fracture description,Reamed description,Post-op weight bearing regime description,Nail removal,Mechanism of injury description,Total number of participants,Inclusion criteria,Exclusion criteria,Outcomes used,Method of outcome,Participants:,Total Male,Total Female,Total Total,Approach1 Male,Approach1 Female,Approach1 Total,Approach2 Male,Approach2 Female,Approach2 Total,Approach3 Male,Approach3 Female,Approach3 Total,Age mean Male,Age mean Female,Age mean Total,Age SD Male,Age SD Female,Age SD Total,Other Male,Other Female,Other Total,Follow up times:,Follow up time(s) time1,Follow up time(s) time2,Follow up time(s) time3,Follow up time(s) time4,Key findings,Limitations
1764,Sahni 2023,Suprapatellar versus Infrapatellar Approach for Intramedullary Nailing in Tibial Shaft Fractures: A Prospective Interventional Study,Consensus,2023,,Other: India,,II,,IPN vs SPN,Prospective cohort study,IPN transpatellar,SPN midline,NA,No,Yes,Yes,No,Yes,No,No,40,,,"Surgery time; Blood loss; Radiation dose; Other: Union, Lower Extremity Functional scale, VAS (ND)",Other: ,,,,40,,,20,,,20,,,,,,,,,,,,,,1.5,3,6,,,
1758,Gupta 2023,Suprapatellar Versus Infrapatellar Nail In Distal Tibial Fractures,Consensus,2023,,Other: India,,III,,IPN vs SPN,Retrospective cohort study,IPN transpatellar,SPN unspecified,NA,Yes,No,No,No,No,No,No,63,,,"Lysholm; Surgery time; Blood loss; Alignment; Other: American Orthopaedic Foot and Ankle Society scale, VAS (ND), Union",,,,,63,,,36,,,27,,,,,,,,,,,,,,12,,,,,
1757,Chahal 2022,Functional Outcome Of Suprapatellar And Infrapatellar Intramedullary Nailing For Extra Articular Tibia Fractures: A Comparative Study,Consensus,2022,,Other: India,,II,,IPN vs SPN,Prospective cohort study,IPN transpatellar,SPN unspecified,NA,No,Yes,Yes,No,Yes,No,Yes,30,,,"Lysholm; Surgery time; Other: Union, Lower Extremity Functional scale, VAS (ND), Time to full weight-bearing, Complications",,,,,30,,,15,,,15,,,,,,,,,,,,,,1,2,3,6,,
1739,Lu 2022,The semi-extended infrapatellar intramedullary nailing of distal tibia fractures: a randomized clinical trial,Consensus,2022,,Other: China,,II,,Other: IPN vs SE,Randomised controlled trial,IPN transpatellar,Other: Semi-extended lateral paratendinous (EA),NA,Yes,Yes,Yes,Yes,Yes,No,No,88,,,"Surgery time; Blood loss; Radiation dose; Alignment; Other: Hospital stay, Complications, Union,  American Orthopaedic Foot and Ankle Society scale, Infection",,,,,88,,,45,,,43,,,,,,,,,,,,,,3,6,12,,,
1737,Leliveld 2022,Effect of Transverse Versus Longitudinal Incisions on Anterior Knee Pain After Tibial Nailing (TRAVEL): A Multicenter Randomized Trial with 1-Year Follow-up,Consensus,2022,,Other: The Netherlands,,I,,IPN,Randomised controlled trial,IPN transpatellar,IPN transpatellar,NA,No,Yes,Yes,Yes,No,Yes,Yes,136,,,"EQ5D; Surgery time; Alignment; ROM; Other: Sensory function of infrapatellar nerve,  NRS - kneeling (0 - 10), NRS - walking (0 - 10), NRS - running (0 - 10), NRS - jumping (0 - 10), NRS - stair ascent (0 - 10), NRS - stair descent (0 - 10), NRS - squatting (0 - 10), NRS - sitting (0 - 10), NRS - cycling (0 - 10), Lower Extremity Functional Score scale, Nail prominence, Short Musculoskeletal Functional Assessment, Scar cosmesis (5-point Likert scale), Return to work, Return to activities of daily living, Complications, Infection, Hospital stay",,,,,136,,,68,,,68,,,,,,,,,,,,,,0.5,1.5,3,"6, 12",,
1733,Basile 2022,Suprapatellar intramedullary nailing of tibial shaft fractures in pregnancy. A report of two cases,Consensus,2022,,Other: Italy,,IV,,SPN,Case series,SPN midline,NA,NA,No,Yes,No,Yes,Yes,No,No,2,,,"Binary yes/no; Other: Complications, Union",,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
1728,He 2022,Controlling the angle between the distal locking screw and tibiotalar joint tangent helps to reduce the occurrence of misalignment of distal tibial fractures treated with intramedullary nail fixation,Consensus,2022,,Other: China,,III,,SPN,Retrospective cohort study,SPN unspecified,NA,NA,Yes,Yes,Yes,No,No,No,Yes,100,,,Alignment; Other: Distal locking screw and tibiotalar joint tangent angle,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
1720,Sathy 2022,Low rate of malalignment using the tibial traction triangle for infrapatellar nailing of distal tibia fractures,Consensus,2022,,United States,,III,,IPN,Retrospective cohort study,Other: IPN grouped transpatellar and medial/lateral parapatellar,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,81,,,Alignment; Other: Number of distal interlocking screws,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,
1716,Yasuda 2022,Nail insertion points in semi-extended nailing of tibial fractures and their influence on alignment: A retrospective cohort study comparing two nail insertion techniques,Consensus,2022,,Other: Japan,,III,,Other: SE,Retrospective cohort study,Other: Semi-extended medial parapatellar (EA),Other: Semi-extended medial parapatellar (IA),NA,No,Yes,Yes,Yes,Yes,No,Yes,54,,,"Surgery time; Blood loss; Nail insertion location; Alignment; ROM; Other: Union, Infection, Chondral damage, Outerbridge scale, Intraoperative capsular tears, Loss of reduction",,,,,,,,29,,,25,,,,,,,,,,,,,,12,,,,,
1713,Approach 2022,Functional and Radiological Outcome of Proximal 1/3rd Tibial Fractures Managed with Intramedullary Through,Consensus,2022,,Other: India,,III,,SPN,Prospective cohort study,SPN midline,NA,NA,Yes,No,Yes,Yes,No,No,No,20,,,"Binary yes/no; Other: Lower Extremity Functional scale, Hospital stay, Union, Complications",,,,,,,,20,,,,,,,,,,,,,,,,,1,6,12,12,,
